"concentration","drug","dog"
0.2800000012,1,1
0.3000000119,2,1
1.070000052,3,1
0.5099999905,1,2
0.3899999857,2,2
1.350000024,3,2
1,1,3
0.6299999952,2,3
0.6899999976,3,3
0.3899999857,1,4
0.6800000072,2,4
0.2800000012,3,4
0.2899999917,1,5
0.3799999952,2,5
1.24000001,3,5
0.3600000143,1,6
0.2099999934,2,6
1.529999971,3,6
0.3199999928,1,7
0.8799999952,2,7
0.4900000095,3,7
0.6899999976,1,8
0.3899999857,2,8
0.5600000024,3,8
0.1700000018,1,9
0.5099999905,2,9
1.019999981,3,9
0.3300000131,1,10
0.3199999928,2,10
0.3000000119,3,10
